UNITID,OPEID,opeid6,INSTNM,CITY,STABBR,INSTURL
100654,100200,1002,Alabama A & M University,Normal,AL,http://www.sports-logos-screensavers.com/user/Alabama_AM_Bulldogs01.jpg
100663,105200,1052,University of Alabama at Birmingham,Birmingham,AL,http://www.recruit757.com/wp-content/uploads/2014/12/UAB-Logo.gif
100690,2503400,25034,Amridge University,Montgomery,AL,https://upload.wikimedia.org/wikipedia/en/1/11/Amridge_University_seal.png
100706,105500,1055,University of Alabama in Huntsville,Huntsville,AL,https://upload.wikimedia.org/wikipedia/commons/5/59/UAHuntsville_logo.png
100724,100500,1005,Alabama State University,Montgomery,AL,http://1.bp.blogspot.com/_aXwvjOCyM24/Sb2PMargUlI/AAAAAAAAMBw/IqGUk1ShXgs/s320/asu-logo.gif
100751,105100,1051,The University of Alabama,Tuscaloosa,AL,http://visualid.ua.edu/download/A_Square_Logo_4c.jpg
100760,100700,1007,Central Alabama Community College,Alexander City,AL,http://static.wixstatic.com/media/004d1d_c8bfe327cbd84b758ff78d8dc6c24573.gif
100812,100800,1008,Athens State University,Athens,AL,http://www.athens.edu/wp-content/uploads/2015/03/ASU_MASTERLOGO_BLU_V_3.png
100830,831000,8310,Auburn University at Montgomery,Montgomery,AL,http://cdn-payscale.com/content/school_logos/Auburn%20University%20-%20Montgomery_200px.jpg
100858,100900,1009,Auburn University,Auburn University,AL,http://cdn-payscale.com/content/school_logos/Auburn%20University%20-%20Montgomery_200px.jpg
100937,101200,1012,Birmingham Southern College,Birmingham,AL,http://bookstore.bsc.edu/outerweb/product_images/10178645l.jpg
101028,1218200,12182,Chattahoochee Valley Community College,Phenix City,AL,http://www.meridys.com/images/stories/logos/cvcclogo.png
101073,1055400,10554,Concordia College Alabama,Selma,AL,http://www.collegeatlas.org/wp-content/uploads/2014/04/concordia-college-selma.jpg
101116,1303906,13039,South University-Montgomery,Montgomery,AL,http://open-site.org/img/logos/101116.jpg
101143,101500,1015,Enterprise State Community College,Enterprise,AL,http://www.brandsoftheworld.com/sites/default/files/styles/logo-thumbnail/public/082014/enterprise_state_community_college.jpg?itok=QxPCPadw
101161,106000,1060,James H Faulkner State Community College,Bay Minette,AL,https://media.licdn.com/mpr/mpr/shrink_200_200/p/4/005/09c/0e9/0dec2e2.png
101189,100300,1003,Faulkner University,Montgomery,AL,http://www.brandsoftheworld.com/sites/default/files/styles/logo-thumbnail/public/0013/2470/brand.gif?itok=fJUCDuj9
101240,101700,1017,Gadsden State Community College,Gadsden,AL,http://www.weisradio.com/wp-content/uploads/2013/05/GSCC-Logo.jpg
101277,4187200,41872,New Beginning College of Cosmetology,Albertville,AL,https://s2.graphiq.com/sites/default/files/10/media/images/t2/New_Beginning_College_of_Cosmetology_1384436.png
101286,101800,1018,George C Wallace State Community College-Dothan,Dothan,AL,http://www.wallace.edu/images/ftr_logo.jpg
101295,787100,7871,George C Wallace State Community College-Hanceville,Hanceville,AL,http://www.sports-logos-screensavers.com/user/Alabama_AM_Bulldogs01.jpg
101301,569900,5699,George C Wallace State Community College-Selma,Selma,AL,http://www.recruit757.com/wp-content/uploads/2014/12/UAB-Logo.gif
101365,962107,9621,Herzing University-Birmingham,Birmingham,AL,https://upload.wikimedia.org/wikipedia/en/1/11/Amridge_University_seal.png
101435,101900,1019,Huntingdon College,Montgomery,AL,https://upload.wikimedia.org/wikipedia/commons/5/59/UAHuntsville_logo.png
101453,2199700,21997,Heritage Christian University,Florence,AL,http://1.bp.blogspot.com/_aXwvjOCyM24/Sb2PMargUlI/AAAAAAAAMBw/IqGUk1ShXgs/s320/asu-logo.gif
101462,526000,5260,J F Drake State Community and Technical College,Huntsville,AL,http://visualid.ua.edu/download/A_Square_Logo_4c.jpg
101480,102000,1020,Jacksonville State University,Jacksonville,AL,http://static.wixstatic.com/media/004d1d_c8bfe327cbd84b758ff78d8dc6c24573.gif
101499,102100,1021,Jefferson Davis Community College,Brewton,AL,http://www.athens.edu/wp-content/uploads/2015/03/ASU_MASTERLOGO_BLU_V_3.png
101505,102200,1022,Jefferson State Community College,Birmingham,AL,http://cdn-payscale.com/content/school_logos/Auburn%20University%20-%20Montgomery_200px.jpg
101514,101300,1013,John C Calhoun State Community College,Tanner,AL,http://cdn-payscale.com/content/school_logos/Auburn%20University%20-%20Montgomery_200px.jpg
101541,102300,1023,Judson College,Marion,AL,http://bookstore.bsc.edu/outerweb/product_images/10178645l.jpg
101569,105900,1059,Lawson State Community College-Birmingham Campus,Birmingham,AL,http://www.meridys.com/images/stories/logos/cvcclogo.png
